EmployeeID,HireDate,LastReviewDate,EngagementScore,TrainingHours,AbsenceDays
E001,2022-03-04,2023-04-16,41,35,7
E002,2017-07-03,2018-10-11,87,13,17
E003,2015-12-23,2019-10-12,67,4,0
E004,2016-01-19,2017-10-07,54,64,19
E005,2015-04-19,2018-12-08,52,69,13
E006,2017-06-21,2020-06-24,77,35,0
E007,2016-10-15,2019-08-26,61,35,4
E008,2017-05-31,2019-10-17,46,11,12
E009,2016-02-01,2018-08-04,94,44,19
E010,2017-12-19,2018-09-13,86,58,17
E011,2016-05-26,2019-01-06,45,70,9
E012,2022-01-18,2026-01-03,96,46,18
E013,2017-02-26,2018-01-14,42,29,9
E014,2015-11-23,2017-09-09,95,12,12
E015,2018-02-12,2021-02-24,80,46,5
E016,2019-02-25,2021-08-20,53,34,20
E017,2015-10-20,2019-09-16,80,21,17
E018,2023-03-06,2025-01-15,50,59,12
E019,2018-01-10,2022-02-08,84,71,7
E020,2022-09-05,2024-12-27,93,7,7
E021,2015-05-12,2017-08-15,65,34,2
E022,2017-05-14,2021-01-14,96,40,6
E023,2022-05-08,2025-08-22,65,58,4
E024,2017-12-20,2019-03-30,55,71,17
E025,2017-12-12,2021-09-19,67,74,12
E026,2019-01-22,2020-10-12,48,65,15
E027,2016-01-08,2016-10-10,95,14,4
E028,2022-01-14,2023-06-05,90,54,19
E029,2015-09-18,2018-05-13,64,76,14
E030,2020-12-07,2022-11-01,75,1,3
E031,2022-08-24,2026-02-23,88,34,20
E032,2018-10-25,2019-12-07,58,55,5
E033,2020-02-02,2020-08-06,86,33,16
E034,2017-01-01,2020-05-04,98,13,20
E035,2018-05-07,2022-06-03,72,77,6
E036,2016-09-18,2019-04-21,88,20,17
E037,2020-12-12,2021-06-11,78,41,15
E038,2015-03-21,2016-05-03,99,46,9
E039,2017-09-07,2018-07-02,55,72,2
E040,2015-12-17,2019-03-06,92,8,17
E041,2016-05-30,2017-08-15,82,60,17
E042,2016-11-07,2018-10-30,73,77,13
E043,2017-05-17,2020-11-21,88,25,9
E044,2019-06-23,2022-01-22,68,66,14
E045,2016-05-10,2018-03-28,54,8,10
E046,2015-03-28,2019-01-10,75,29,18
E047,2017-06-21,2018-01-01,44,80,1
E048,2017-07-26,2018-06-09,97,4,10
E049,2015-10-18,2019-03-03,55,35,15
E050,2017-05-27,2020-12-01,48,73,18
E051,2020-04-20,2022-02-26,90,60,13
E052,2017-02-18,2018-02-26,46,55,11
E053,2019-10-01,2022-07-18,69,6,20
E054,2022-03-31,2023-04-16,43,51,10
E055,2016-03-23,2018-02-10,52,24,17
E056,2020-01-12,2021-04-23,67,23,8
E057,2020-03-09,2022-01-29,95,9,14
E058,2021-03-04,2022-03-19,43,69,0
E059,2016-01-18,2017-11-12,50,52,15
E060,2020-05-25,2022-02-01,95,51,1
E061,2016-11-05,2019-06-19,40,49,8
E062,2020-02-07,2022-03-12,67,71,15
E063,2016-09-26,2018-04-17,58,27,1
E064,2021-06-30,2025-01-10,43,40,1
E065,2015-07-25,2019-05-01,70,64,16
E066,2016-10-06,2017-07-29,72,10,5
E067,2015-10-08,2019-08-06,44,30,12
E068,2016-05-06,2020-01-12,55,74,19
E069,2015-06-12,2019-05-30,45,53,18
E070,2021-05-04,2024-10-05,60,33,6
E071,2022-07-06,2024-10-06,55,33,12
E072,2016-06-20,2018-08-23,69,40,2
E073,2015-02-08,2018-03-02,79,72,3
E074,2015-10-28,2019-05-01,53,64,8
E075,2016-06-26,2018-12-07,96,8,7
E076,2019-02-22,2021-03-26,50,56,17
E077,2022-11-21,2025-01-28,79,67,0
E078,2022-06-28,2026-02-02,59,13,4
E079,2017-12-19,2019-02-08,96,13,17
E080,2016-09-28,2018-10-05,58,77,6
E081,2023-01-18,2025-06-18,53,33,16
E082,2020-06-24,2022-05-19,97,6,2
E083,2022-02-11,2024-12-24,93,35,1
E084,2015-01-15,2017-05-27,89,16,20
E085,2017-12-08,2019-05-02,87,56,17
E086,2022-11-30,2025-10-20,75,1,3
E087,2015-11-05,2017-03-04,74,4,11
E088,2021-07-13,2025-02-13,49,55,4
E089,2015-06-21,2017-09-09,63,5,11
E090,2017-05-10,2019-04-01,82,13,11
E091,2021-04-12,2024-01-19,79,19,7
E092,2016-10-27,2018-04-22,96,52,0
E093,2017-01-04,2019-05-14,90,52,7
E094,2017-12-28,2019-05-18,90,13,12
E095,2015-06-08,2018-07-25,54,25,14
E096,2018-12-03,2021-02-15,92,29,7
E097,2015-04-07,2016-11-02,65,42,8
E098,2015-10-12,2017-11-01,62,65,12
E099,2022-08-15,2026-02-13,61,3,3
E100,2017-12-05,2019-06-03,77,33,1
E101,2016-03-20,2020-01-20,67,44,10
E102,2019-11-23,2023-10-14,72,14,12
E103,2021-06-19,2023-01-09,56,5,13
E104,2015-01-07,2018-06-04,99,68,6
E105,2019-01-31,2021-12-29,44,42,19
E106,2018-07-09,2019-09-17,86,38,16
E107,2018-06-20,2021-04-01,60,51,9
E108,2021-03-20,2022-06-03,52,53,12
E109,2022-08-06,2024-01-24,79,72,9
E110,2019-07-22,2023-02-13,93,0,9
E111,2018-03-21,2019-11-21,67,74,19
E112,2022-05-05,2024-08-21,69,56,14
E113,2022-07-30,2024-04-07,72,60,5
E114,2022-05-22,2023-05-10,58,65,20
E115,2021-12-11,2024-04-25,45,30,9
E116,2017-07-09,2019-02-16,49,3,1
E117,2017-09-29,2020-11-25,79,9,14
E118,2019-08-25,2023-09-02,76,24,12
E119,2020-07-17,2023-04-11,55,18,20
E120,2022-09-17,2023-03-27,97,13,13
E121,2017-06-15,2018-12-07,91,66,14
E122,2015-07-25,2019-03-07,55,15,14
E123,2016-06-30,2019-08-05,82,67,17
E124,2021-09-04,2023-12-12,100,56,19
E125,2023-01-25,2026-05-22,67,70,14
E126,2016-10-13,2019-12-09,68,33,7
E127,2022-02-24,2024-03-12,89,66,15
E128,2022-01-11,2023-11-11,57,56,2
E129,2023-01-01,2025-02-04,55,34,10
E130,2018-08-02,2022-02-08,45,17,4
E131,2017-08-05,2020-03-26,84,19,6
E132,2015-09-21,2018-07-16,66,42,17
E133,2020-03-23,2023-01-18,43,26,13
E134,2019-05-15,2023-02-19,100,2,18
E135,2019-04-08,2022-06-07,40,45,9
E136,2019-05-17,2022-03-20,74,69,19
E137,2017-06-22,2020-09-13,54,34,13
E138,2020-06-12,2021-02-06,64,43,12
E139,2023-02-14,2024-07-16,93,59,4
E140,2021-12-23,2025-06-18,41,50,18
E141,2021-04-30,2021-12-21,45,54,4
E142,2020-03-06,2021-09-09,43,33,12
E143,2018-09-02,2020-05-07,69,41,10
E144,2019-04-02,2021-04-20,88,53,8
E145,2015-12-02,2019-01-18,41,69,1
E146,2018-12-04,2020-09-03,81,8,20
E147,2015-06-14,2016-02-12,100,31,6
E148,2015-03-25,2019-03-16,49,30,4
E149,2020-04-23,2021-06-11,76,27,14
E150,2022-11-05,2024-10-09,89,47,5
E151,2021-10-17,2025-09-09,87,14,5
E152,2018-06-28,2019-08-03,77,3,9
E153,2021-06-16,2024-01-20,65,25,2
E154,2021-08-22,2025-08-25,55,13,9
E155,2022-09-03,2026-07-13,91,15,18
E156,2015-06-18,2017-11-25,74,54,11
E157,2015-10-10,2019-02-07,81,43,0
E158,2019-09-17,2022-12-13,46,55,11
E159,2022-02-16,2025-03-13,85,19,13
E160,2016-12-22,2020-05-23,81,34,19
E161,2021-01-13,2024-03-28,69,55,18
E162,2018-01-04,2020-04-23,94,31,2
E163,2018-02-16,2021-02-23,55,59,18
E164,2021-11-04,2024-06-17,61,3,15
E165,2018-08-24,2020-02-27,71,27,11
E166,2017-11-24,2020-04-19,57,76,8
E167,2021-03-26,2021-10-12,73,24,2
E168,2017-09-15,2020-06-23,71,71,7
E169,2022-09-29,2025-11-27,81,62,14
E170,2015-03-12,2016-03-16,58,28,12
E171,2022-10-04,2024-08-12,59,74,11
E172,2020-04-22,2023-11-26,73,44,13
E173,2021-03-04,2023-07-09,62,58,8
E174,2018-06-09,2020-05-03,54,15,6
E175,2018-07-16,2019-09-13,87,68,5
E176,2017-02-23,2018-11-08,87,61,8
E177,2023-02-15,2026-12-03,88,67,19
E178,2018-03-05,2019-03-25,93,24,9
E179,2017-07-20,2020-01-25,51,38,0
E180,2022-12-10,2026-06-05,48,35,1
E181,2015-08-12,2019-03-17,58,16,20
E182,2020-07-03,2021-07-28,95,1,18
E183,2018-03-10,2021-04-24,70,56,10
E184,2017-01-25,2017-11-06,56,61,3
E185,2015-09-25,2018-06-21,71,9,18
E186,2022-01-22,2022-11-07,49,19,18
